HCPC,SHORT DESCRIPTION,LONG DESCRIPTION
L1902,Afo ankle gauntlet pre ots,"Ankle orthosis, ankle gauntlet or similar, with or without joints, prefabricated, off-the-shelf"
L1904,Afo molded ankle gauntlet,"Ankle orthosis, ankle gauntlet or similar, with or without joints, custom fabricated"
L1906,Afo multilig ank sup pre ots,"Ankle foot orthosis, multiligamentous ankle support, prefabricated, off-the-shelf"
L1907,Afo supramalleolar custom,"Ankle orthosis, supramalleolar with straps, with or without interface/pads, custom fabricated"
L1910,Afo sing bar clasp attach sh,"Ankle foot orthosis, posterior, single bar, clasp attachment to shoe counter, prefabricated, includes fitting and adjustment"
L1920,Afo sing upright w/ adjust s,"Ankle foot orthosis, single upright with static or adjustable stop (phelps or perlstein type), custom fabricated"
L1930,Afo plastic,"Ankle foot orthosis, plastic or other material, prefabricated, includes fitting and adjustment"
L1932,Afo rig ant tib prefab tcf/=,"Afo, rigid anterior tibial section, total carbon fiber or equal material, prefabricated, includes fitting and adjustment"
L1940,Afo molded to patient plasti,"Ankle foot orthosis, plastic or other material, custom fabricated"
L1945,Afo molded plas rig ant tib,"Ankle foot orthosis, plastic, rigid anterior tibial section (floor reaction), custom fabricated"
L1950,Afo spiral molded to pt plas,"Ankle foot orthosis, spiral, (institute of rehabilitative medicine type), plastic, custom fabricated"
L1951,Afo spiral prefabricated,"Ankle foot orthosis, spiral, (institute of rehabilitative medicine type), plastic or other material, prefabricated, includes fitting and adjustment"
L1960,Afo pos solid ank plastic mo,"Ankle foot orthosis, posterior solid ankle, plastic, custom fabricated"
L1970,Afo plastic molded w/ankle j,"Ankle foot orthosis, plastic with ankle joint, custom fabricated"
L1971,"Afo w/ankle joint, prefab","Ankle foot orthosis, plastic or other material with ankle joint, prefabricated, includes fitting and adjustment"
L1980,Afo sing solid stirrup calf,"Ankle foot orthosis, single upright free plantar dorsiflexion, solid stirrup, calf band/cuff (single bar 'bk' orthosis), custom fabricated"
L1990,Afo doub solid stirrup calf,"Ankle foot orthosis, double upright free plantar dorsiflexion, solid stirrup, calf band/cuff (double bar 'bk' orthosis), custom fabricated"
L2000,Kafo sing fre stirr thi/calf,"Knee ankle foot orthosis, single upright, free knee, free ankle, solid stirrup, thigh and calf bands/cuffs (single bar 'ak' orthosis), custom fabricated"
L2005,Kafo sng/dbl mechanical act,"Knee ankle foot orthosis, any material, single or double upright, stance control, automatic lock and swing phase release, any type activation, includes ankle joint, any type, custom fabricated"
L2006,Kaf sng/dbl swg/stn mcpr cus,"Knee ankle foot device, any material, single or double upright, swing and stance phase microprocessor control with adjustability, includes all components (e.g., sensors, batteries, charger), any type activation, with or without ankle joint(s), custom fabr"
L2010,Kafo sng solid stirrup w/o j,"Knee ankle foot orthosis, single upright, free ankle, solid stirrup, thigh and calf bands/cuffs (single bar 'ak' orthosis), without knee joint, custom fabricated"
L2020,Kafo dbl solid stirrup band/,"Knee ankle foot orthosis, double upright, free ankle, solid stirrup, thigh and calf bands/cuffs (double bar 'ak' orthosis), custom fabricated"
L2030,Kafo dbl solid stirrup w/o j,"Knee ankle foot orthosis, double upright, free ankle, solid stirrup, thigh and calf bands/cuffs, (double bar 'ak' orthosis), without knee joint, custom fabricated"
L2034,Kafo pla sin up w/wo k/a cus,"Knee ankle foot orthosis, full plastic, single upright, with or without free motion knee, medial lateral rotation control, with or without free motion ankle, custom fabricated"
L2035,Kafo plastic pediatric size,"Knee ankle foot orthosis, full plastic, static (pediatric size), without free motion ankle, prefabricated, includes fitting and adjustment"
L2036,Kafo plas doub free knee mol,"Knee ankle foot orthosis, full plastic, double upright, with or without free motion knee, with or without free motion ankle, custom fabricated"
L2037,Kafo plas sing free knee mol,"Knee ankle foot orthosis, full plastic, single upright, with or without free motion knee, with or without free motion ankle, custom fabricated"
L2038,Kafo w/o joint multi-axis an,"Knee ankle foot orthosis, full plastic, with or without free motion knee, multi-axis ankle, custom fabricated"
L2040,Hkafo torsion bil rot straps,"Hip knee ankle foot orthosis, torsion control, bilateral rotation straps, pelvic band/belt, custom fabricated"
L2050,Hkafo torsion cable hip pelv,"Hip knee ankle foot orthosis, torsion control, bilateral torsion cables, hip joint, pelvic band/belt, custom fabricated"
L2060,Hkafo torsion ball bearing j,"Hip knee ankle foot orthosis, torsion control, bilateral torsion cables, ball bearing hip joint, pelvic band/ belt, custom fabricated"
L2070,Hkafo torsion unilat rot str,"Hip knee ankle foot orthosis, torsion control, unilateral rotation straps, pelvic band/belt, custom fabricated"
L2080,Hkafo unilat torsion cable,"Hip knee ankle foot orthosis, torsion control, unilateral torsion cable, hip joint, pelvic band/belt, custom fabricated"
L2090,Hkafo unilat torsion ball br,"Hip knee ankle foot orthosis, torsion control, unilateral torsion cable, ball bearing hip joint, pelvic band/ belt, custom fabricated"
L2106,Afo tib fx cast plaster mold,"Ankle foot orthosis, fracture orthosis, tibial fracture cast orthosis, thermoplastic type casting material, custom fabricated"
L2108,Afo tib fx cast molded to pt,"Ankle foot orthosis, fracture orthosis, tibial fracture cast orthosis, custom fabricated"
L2112,Afo tibial fracture soft,"Ankle foot orthosis, fracture orthosis, tibial fracture orthosis, soft, prefabricated, includes fitting and adjustment"
L2114,Afo tib fx semi-rigid,"Ankle foot orthosis, fracture orthosis, tibial fracture orthosis, semi-rigid, prefabricated, includes fitting and adjustment"
L2116,Afo tibial fracture rigid,"Ankle foot orthosis, fracture orthosis, tibial fracture orthosis, rigid, prefabricated, includes fitting and adjustment"
L2126,Kafo fem fx cast thermoplas,"Knee ankle foot orthosis, fracture orthosis, femoral fracture cast orthosis, thermoplastic type casting material, custom fabricated"
L2128,Kafo fem fx cast molded to p,"Knee ankle foot orthosis, fracture orthosis, femoral fracture cast orthosis, custom fabricated"
L2132,Kafo femoral fx cast soft,"Kafo, fracture orthosis, femoral fracture cast orthosis, soft, prefabricated, includes fitting and adjustment"
L2134,Kafo fem fx cast semi-rigid,"Kafo, fracture orthosis, femoral fracture cast orthosis, semi-rigid, prefabricated, includes fitting and adjustment"
L2136,Kafo femoral fx cast rigid,"Kafo, fracture orthosis, femoral fracture cast orthosis, rigid, prefabricated, includes fitting and adjustment"
L2180,Plas shoe insert w ank joint,"Addition to lower extremity fracture orthosis, plastic shoe insert with ankle joints"
L2182,Drop lock knee,"Addition to lower extremity fracture orthosis, drop lock knee joint"
L2184,Limited motion knee joint,"Addition to lower extremity fracture orthosis, limited motion knee joint"
L2186,Adj motion knee jnt lerman t,"Addition to lower extremity fracture orthosis, adjustable motion knee joint, lerman type"
L2188,Quadrilateral brim,"Addition to lower extremity fracture orthosis, quadrilateral brim"
L2190,Waist belt,"Addition to lower extremity fracture orthosis, waist belt"
L2192,Pelvic band & belt thigh fla,"Addition to lower extremity fracture orthosis, hip joint, pelvic band, thigh flange, and pelvic belt"
L2200,Limited ankle motion ea jnt,"Addition to lower extremity, limited ankle motion, each joint"
L2210,Dorsiflexion assist each joi,"Addition to lower extremity, dorsiflexion assist (plantar flexion resist), each joint"
L2220,Dorsi & plantar flex ass/res,"Addition to lower extremity, dorsiflexion and plantar flexion assist/resist, each joint"
L2230,Split flat caliper stirr & p,"Addition to lower extremity, split flat caliper stirrups and plate attachment"
L2232,"Rocker bottom, contact afo","Addition to lower extremity orthosis, rocker bottom for total contact ankle foot orthosis, for custom fabricated orthosis only"
L2240,Round caliper and plate atta,"Addition to lower extremity, round caliper and plate attachment"
L2250,Foot plate molded stirrup at,"Addition to lower extremity, foot plate, molded to patient model, stirrup attachment"
L2260,Reinforced solid stirrup,"Addition to lower extremity, reinforced solid stirrup (scott-craig type)"
L2265,Long tongue stirrup,"Addition to lower extremity, long tongue stirrup"
L2270,Varus/valgus strap padded/li,"Addition to lower extremity, varus/valgus correction ('t') strap, padded/lined or malleolus pad"
L2275,Plastic mod low ext pad/line,"Addition to lower extremity, varus/valgus correction, plastic modification, padded/lined"
L2280,Molded inner boot,"Addition to lower extremity, molded inner boot"
L2300,Abduction bar jointed adjust,"Addition to lower extremity, abduction bar (bilateral hip involvement), jointed, adjustable"
L2310,Abduction bar-straight,"Addition to lower extremity, abduction bar-straight"
L2320,Non-molded lacer,"Addition to lower extremity, non-molded lacer, for custom fabricated orthosis only"
L2330,Lacer molded to patient mode,"Addition to lower extremity, lacer molded to patient model, for custom fabricated orthosis only"
L2335,Anterior swing band,"Addition to lower extremity, anterior swing band"
L2340,Pre-tibial shell molded to p,"Addition to lower extremity, pre-tibial shell, molded to patient model"
L2350,Prosthetic type socket molde,"Addition to lower extremity, prosthetic type, (bk) socket, molded to patient model, (used for 'ptb' 'afo' orthoses)"
L2360,Extended steel shank,"Addition to lower extremity, extended steel shank"
L2370,Patten bottom,"Addition to lower extremity, patten bottom"
L2375,Torsion ank & half solid sti,"Addition to lower extremity, torsion control, ankle joint and half solid stirrup"
L2380,Torsion straight knee joint,"Addition to lower extremity, torsion control, straight knee joint, each joint"
L2385,Straight knee joint heavy du,"Addition to lower extremity, straight knee joint, heavy duty, each joint"
L2387,Add le poly knee custom kafo,"Addition to lower extremity, polycentric knee joint, for custom fabricated knee ankle foot orthosis, each joint"
L2390,Offset knee joint each,"Addition to lower extremity, offset knee joint, each joint"
L2395,Offset knee joint heavy duty,"Addition to lower extremity, offset knee joint, heavy duty, each joint"
L2397,Suspension sleeve lower ext,"Addition to lower extremity orthosis, suspension sleeve"
L2405,Knee joint drop lock ea jnt,"Addition to knee joint, drop lock, each"
L2415,Knee joint cam lock each joi,"Addition to knee lock with integrated release mechanism (bail, cable, or equal), any material, each joint"
L2425,Knee disc/dial lock/adj flex,"Addition to knee joint, disc or dial lock for adjustable knee flexion, each joint"
L2430,Knee jnt ratchet lock ea jnt,"Addition to knee joint, ratchet lock for active and progressive knee extension, each joint"
L2492,Knee lift loop drop lock rin,"Addition to knee joint, lift loop for drop lock ring"
L2500,Thi/glut/ischia wgt bearing,"Addition to lower extremity, thigh/weight bearing, gluteal/ ischial weight bearing, ring"
L2510,Th/wght bear quad-lat brim m,"Addition to lower extremity, thigh/weight bearing, quadri- lateral brim, molded to patient model"
L2520,Th/wght bear quad-lat brim c,"Addition to lower extremity, thigh/weight bearing, quadri- lateral brim, custom fitted"
L2525,Th/wght bear nar m-l brim mo,"Addition to lower extremity, thigh/weight bearing, ischial containment/narrow m-l brim molded to patient model"
L2526,Th/wght bear nar m-l brim cu,"Addition to lower extremity, thigh/weight bearing, ischial containment/narrow m-l brim, custom fitted"
L2530,Thigh/wght bear lacer non-mo,"Addition to lower extremity, thigh-weight bearing, lacer, non-molded"
L2540,Thigh/wght bear lacer molded,"Addition to lower extremity, thigh/weight bearing, lacer, molded to patient model"
L2550,Thigh/wght bear high roll cu,"Addition to lower extremity, thigh/weight bearing, high roll cuff"
L2570,Hip clevis type 2 posit jnt,"Addition to lower extremity, pelvic control, hip joint, clevis type two position joint, each"
L2580,Pelvic control pelvic sling,"Addition to lower extremity, pelvic control, pelvic sling"
L2600,Hip clevis/thrust bearing fr,"Addition to lower extremity, pelvic control, hip joint, clevis type, or thrust bearing, free, each"
L2610,Hip clevis/thrust bearing lo,"Addition to lower extremity, pelvic control, hip joint, clevis or thrust bearing, lock, each"
L2620,Pelvic control hip heavy dut,"Addition to lower extremity, pelvic control, hip joint, heavy duty, each"
L2622,Hip joint adjustable flexion,"Addition to lower extremity, pelvic control, hip joint, adjustable flexion, each"
L2624,Hip adj flex ext abduct cont,"Addition to lower extremity, pelvic control, hip joint, adjustable flexion, extension, abduction control, each"
L2627,Plastic mold recipro hip & c,"Addition to lower extremity, pelvic control, plastic, molded to patient model, reciprocating hip joint and cables"
L2628,Metal frame recipro hip & ca,"Addition to lower extremity, pelvic control, metal frame, reciprocating hip joint and cables"
L2630,Pelvic control band & belt u,"Addition to lower extremity, pelvic control, band and belt, unilateral"
L2640,Pelvic control band & belt b,"Addition to lower extremity, pelvic control, band and belt, bilateral"
L2650,Pelv & thor control gluteal,"Addition to lower extremity, pelvic and thoracic control, gluteal pad, each"
L2660,Thoracic control thoracic ba,"Addition to lower extremity, thoracic control, thoracic band"
L2670,Thorac cont paraspinal uprig,"Addition to lower extremity, thoracic control, paraspinal uprights"
L2680,Thorac cont lat support upri,"Addition to lower extremity, thoracic control, lateral support uprights"
L2750,Plating chrome/nickel pr bar,"Addition to lower extremity orthosis, plating chrome or nickel, per bar"
L2755,Carbon graphite lamination,"Addition to lower extremity orthosis, high strength, lightweight material, all hybrid lamination/prepreg composite, per segment, for custom fabricated orthosis only"
L2760,Extension per extension per,"Addition to lower extremity orthosis, extension, per extension, per bar (for lineal adjustment for growth)"
L2768,Ortho sidebar disconnect,"Orthotic side bar disconnect device, per bar"
L2780,Non-corrosive finish,"Addition to lower extremity orthosis, non-corrosive finish, per bar"
L2785,Drop lock retainer each,"Addition to lower extremity orthosis, drop lock retainer, each"
L2795,Knee control full kneecap,"Addition to lower extremity orthosis, knee control, full kneecap"
L2800,Knee cap medial or lateral p,"Addition to lower extremity orthosis, knee control, knee cap, medial or lateral pull, for use with custom fabricated orthosis only"
L2810,Knee control condylar pad,"Addition to lower extremity orthosis, knee control, condylar pad"
L2820,Soft interface below knee se,"Addition to lower extremity orthosis, soft interface for molded plastic, below knee section"
L2830,Soft interface above knee se,"Addition to lower extremity orthosis, soft interface for molded plastic, above knee section"
L2840,Tibial length sock fx or equ,"Addition to lower extremity orthosis, tibial length sock, fracture or equal, each"
L2850,Femoral lgth sock fx or equa,"Addition to lower extremity orthosis, femoral length sock, fracture or equal, each"
L2861,Torsion mechanism knee/ankle,"Addition to lower extremity joint, knee or ankle, concentric adjustable torsion style mechanism for custom fabricated orthotics only, each"
L2999,Lower extremity orthosis nos,"Lower extremity orthoses, not otherwise specified"
L3000,Ft insert ucb berkeley shell,"Foot, insert, removable, molded to patient model, 'ucb' type, berkeley shell, each"
L3001,Foot insert remov molded spe,"Foot, insert, removable, molded to patient model, spenco, each"
L3002,Foot insert plastazote or eq,"Foot, insert, removable, molded to patient model, plastazote or equal, each"
L3003,Foot insert silicone gel eac,"Foot, insert, removable, molded to patient model, silicone gel, each"
L3010,Foot longitudinal arch suppo,"Foot, insert, removable, molded to patient model, longitudinal arch support, each"
L3020,Foot longitud/metatarsal sup,"Foot, insert, removable, molded to patient model, longitudinal/ metatarsal support, each"
L3030,Foot arch support remov prem,"Foot, insert, removable, formed to patient foot, each"
L3031,Foot lamin/prepreg composite,"Foot, insert/plate, removable, addition to lower extremity orthosis, high strength, lightweight material, all hybrid lamination/prepreg composite, each"
L3040,Ft arch suprt premold longit,"Foot, arch support, removable, premolded, longitudinal, each"
L3050,Foot arch supp premold metat,"Foot, arch support, removable, premolded, metatarsal, each"
L3060,Foot arch supp longitud/meta,"Foot, arch support, removable, premolded, longitudinal/ metatarsal, each"
L3070,Arch suprt att to sho longit,"Foot, arch support, non-removable attached to shoe, longitudinal, each"
L3080,Arch supp att to shoe metata,"Foot, arch support, non-removable attached to shoe, metatarsal, each"
L3090,Arch supp att to shoe long/m,"Foot, arch support, non-removable attached to shoe, longitudinal/metatarsal, each"
L3100,Hallus-valgus nt dyn pre ots,"Hallus-valgus night dynamic splint, prefabricated, off-the-shelf"
L3140,Abduction rotation bar shoe,"Foot, abduction rotation bar, including shoes"
L3150,Abduct rotation bar w/o shoe,"Foot, abduction rotation bar, without shoes"
L3160,Shoe styled positioning dev,"Foot, adjustable shoe-styled positioning device"
L3170,Foot plas heel stabi pre ots,"Foot, plastic, silicone or equal, heel stabilizer, prefabricated, off-the-shelf, each"
L3201,Oxford w supinat/pronat inf,"Orthopedic shoe, oxford with supinator or pronator, infant"
L3202,Oxford w/ supinat/pronator c,"Orthopedic shoe, oxford with supinator or pronator, child"
L3203,Oxford w/ supinator/pronator,"Orthopedic shoe, oxford with supinator or pronator, junior"
L3204,Hightop w/ supp/pronator inf,"Orthopedic shoe, hightop with supinator or pronator, infant"
L3206,Hightop w/ supp/pronator chi,"Orthopedic shoe, hightop with supinator or pronator, child"
L3207,Hightop w/ supp/pronator jun,"Orthopedic shoe, hightop with supinator or pronator, junior"
L3208,Surgical boot each infant,"Surgical boot, each, infant"
L3209,Surgical boot each child,"Surgical boot, each, child"
L3211,Surgical boot each junior,"Surgical boot, each, junior"
L3212,Benesch boot pair infant,"Benesch boot, pair, infant"
L3213,Benesch boot pair child,"Benesch boot, pair, child"
L3214,Benesch boot pair junior,"Benesch boot, pair, junior"
L3215,Orthopedic ftwear ladies oxf,"Orthopedic footwear, ladies shoe, oxford, each"
L3216,Orthoped ladies shoes dpth i,"Orthopedic footwear, ladies shoe, depth inlay, each"
L3217,Ladies shoes hightop depth i,"Orthopedic footwear, ladies shoe, hightop, depth inlay, each"
L3219,Orthopedic mens shoes oxford,"Orthopedic footwear, mens shoe, oxford, each"
L3221,Orthopedic mens shoes dpth i,"Orthopedic footwear, mens shoe, depth inlay, each"
L3222,Mens shoes hightop depth inl,"Orthopedic footwear, mens shoe, hightop, depth inlay, each"
L3224,Woman's shoe oxford brace,"Orthopedic footwear, woman's shoe, oxford, used as an integral part of a brace (orthosis)"
L3225,Man's shoe oxford brace,"Orthopedic footwear, man's shoe, oxford, used as an integral part of a brace (orthosis)"
L3230,Custom shoes depth inlay,"Orthopedic footwear, custom shoe, depth inlay, each"
L3250,Custom mold shoe remov prost,"Orthopedic footwear, custom molded shoe, removable inner mold, prosthetic shoe, each"
L3251,Shoe molded to pt silicone s,"Foot, shoe molded to patient model, silicone shoe, each"
L3252,Shoe molded plastazote cust,"Foot, shoe molded to patient model, plastazote (or similar), custom fabricated, each"
L3253,Shoe molded plastazote cust,"Foot, molded shoe plastazote (or similar) custom fitted, each"
L3254,Orth foot non-stndard size/w,Non-standard size or width
L3255,Orth foot non-standard size/,Non-standard size or length
L3257,Orth foot add charge split s,"Orthopedic footwear, additional charge for split size"
L3260,Ambulatory surgical boot eac,"Surgical boot/shoe, each"
L3265,Plastazote sandal each,"Plastazote sandal, each"
L3300,Sho lift taper to metatarsal,"Lift, elevation, heel, tapered to metatarsals, per inch"
L3310,Shoe lift elev heel/sole neo,"Lift, elevation, heel and sole, neoprene, per inch"
L3320,Shoe lift elev heel/sole cor,"Lift, elevation, heel and sole, cork, per inch"
L3330,Lifts elevation metal extens,"Lift, elevation, metal extension (skate)"
L3332,Shoe lifts tapered to one-ha,"Lift, elevation, inside shoe, tapered, up to one-half inch"
L3334,Shoe lifts elevation heel /i,"Lift, elevation, heel, per inch"
L3340,Shoe wedge sach,"Heel wedge, sach"
L3350,Shoe heel wedge,Heel wedge
L3360,Shoe sole wedge outside sole,"Sole wedge, outside sole"
L3370,Shoe sole wedge between sole,"Sole wedge, between sole"
L3380,Shoe clubfoot wedge,Clubfoot wedge
L3390,Shoe outflare wedge,Outflare wedge
L3400,Shoe metatarsal bar wedge ro,"Metatarsal bar wedge, rocker"
L3410,Shoe metatarsal bar between,"Metatarsal bar wedge, between sole"
L3420,Full sole/heel wedge btween,"Full sole and heel wedge, between sole"
L3430,Sho heel count plast reinfor,"Heel, counter, plastic reinforced"
L3440,Heel leather reinforced,"Heel, counter, leather reinforced"
L3450,Shoe heel sach cushion type,"Heel, sach cushion type"
L3455,Shoe heel new leather standa,"Heel, new leather, standard"
L3460,Shoe heel new rubber standar,"Heel, new rubber, standard"
L3465,Shoe heel thomas with wedge,"Heel, thomas with wedge"
L3470,Shoe heel thomas extend to b,"Heel, thomas extended to ball"
L3480,Shoe heel pad & depress for,"Heel, pad and depression for spur"
L3485,Shoe heel pad removable for,"Heel, pad, removable for spur"
L3500,Ortho shoe add leather insol,"Orthopedic shoe addition, insole, leather"
L3510,Orthopedic shoe add rub insl,"Orthopedic shoe addition, insole, rubber"
L3520,O shoe add felt w leath insl,"Orthopedic shoe addition, insole, felt covered with leather"
L3530,Ortho shoe add half sole,"Orthopedic shoe addition, sole, half"
L3540,Ortho shoe add full sole,"Orthopedic shoe addition, sole, full"
L3550,O shoe add standard toe tap,"Orthopedic shoe addition, toe tap standard"
L3560,O shoe add horseshoe toe tap,"Orthopedic shoe addition, toe tap, horseshoe"
L3570,O shoe add instep extension,"Orthopedic shoe addition, special extension to instep (leather with eyelets)"
L3580,O shoe add instep velcro clo,"Orthopedic shoe addition, convert instep to velcro closure"
L3590,O shoe convert to sof counte,"Orthopedic shoe addition, convert firm shoe counter to soft counter"
L3595,Ortho shoe add march bar,"Orthopedic shoe addition, march bar"
L3600,Trans shoe calip plate exist,"Transfer of an orthosis from one shoe to another, caliper plate, existing"
L3610,Trans shoe caliper plate new,"Transfer of an orthosis from one shoe to another, caliper plate, new"
L3620,Trans shoe solid stirrup exi,"Transfer of an orthosis from one shoe to another, solid stirrup, existing"
L3630,Trans shoe solid stirrup new,"Transfer of an orthosis from one shoe to another, solid stirrup, new"
L3640,Shoe dennis browne splint bo,"Transfer of an orthosis from one shoe to another, dennis browne splint (riveton), both shoes"
L3649,Orthopedic shoe modifica nos,"Orthopedic shoe, modification, addition or transfer, not otherwise specified"
L3650,So 8 abd restraint pre ots,"Shoulder orthosis, figure of eight design abduction restrainer, prefabricated, off-the-shelf"
L3660,So 8 ab rstr can/web pre ots,"Shoulder orthosis, figure of eight design abduction restrainer, canvas and webbing, prefabricated, off-the-shelf"
L3670,So acro/clav can web pre ots,"Shoulder orthosis, acromio/clavicular (canvas and webbing type), prefabricated, off-the-shelf"
L3671,So cap design w/o jnts cf,"Shoulder orthosis, shoulder joint design, without joints, may include soft interface, straps, custom fabricated, includes fitting and adjustment"
L3674,So airplane w/wo joint cf,"Shoulder orthosis, abduction positioning (airplane design), thoracic component and support bar, with or without nontorsion joint/turnbuckle, may include soft interface, straps, custom fabricated, includes fitting and adjustment"
L3675,So vest canvas/web pre ots,"Shoulder orthosis, vest type abduction restrainer, canvas webbing type or equal, prefabricated, off-the-shelf"
L3677,So hard plas stabili pre cst,"Shoulder orthosis, shoulder joint design, without joints, may include soft interface, straps, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise"
L3678,So hard plas stabili pre ots,"Shoulder orthosis, shoulder joint design, without joints, may include soft interface, straps, prefabricated, off-the-shelf"
L3702,Eo w/o joints cf,"Elbow orthosis, without joints, may include soft interface, straps, custom fabricated, includes fitting and adjustment"
L3710,Eo elas w/metal jnts pre ots,"Elbow orthosis, elastic with metal joints, prefabricated, off-the-shelf"
L3720,Forearm/arm cuffs free motio,"Elbow orthosis, double upright with forearm/arm cuffs, free motion, custom fabricated"
L3730,Forearm/arm cuffs ext/flex a,"Elbow orthosis, double upright with forearm/arm cuffs, extension/ flexion assist, custom fabricated"
L3740,Cuffs adj lock w/ active con,"Elbow orthosis, double upright with forearm/arm cuffs, adjustable position lock with active control, custom fabricated"
L3760,Eo adj jt prefab custom fit,"Elbow orthosis (eo), with adjustable position locking joint(s), prefabricated, item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific  patient by an individual with expertise"
L3761,"Eo, adj lock joint prefab ot","Elbow orthosis (eo), with adjustable position locking joint(s), prefabricated, off-the-shelf"
L3762,Eo rigid w/o joints pre ots,"Elbow orthosis, rigid, without joints, includes soft interface material, prefabricated, off-the-shelf"
L3763,Ewho rigid w/o jnts cf,"Elbow wrist hand orthosis, rigid, without joints, may include soft interface, straps, custom fabricated, includes fitting and adjustment"
L3764,Ewho w/joint(s) cf,"Elbow wrist hand orthosis, includes one or more nontorsion joints, elastic bands, turnbuckles, may include soft interface, straps, custom fabricated, includes fitting and adjustment"
L3765,Ewhfo rigid w/o jnts cf,"Elbow wrist hand finger orthosis, rigid, without joints, may include soft interface, straps, custom fabricated, includes fitting and adjustment"
L3766,Ewhfo w/joint(s) cf,"Elbow wrist hand finger orthosis, includes one or more nontorsion joints, elastic bands, turnbuckles, may include soft interface, straps, custom fabricated, includes fitting and adjustment"
L3806,Whfo w/joint(s) custom fab,"Wrist hand finger orthosis, includes one or more nontorsion joint(s), turnbuckles, elastic bands/springs, may include soft interface material, straps, custom fabricated, includes fitting and adjustment"
L3807,Whfo w/o joints pre cst,"Wrist hand finger orthosis, without joint(s), prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise"
L3808,"Whfo, rigid w/o joints","Wrist hand finger orthosis, rigid without joints, may include soft interface material; straps, custom fabricated, includes fitting and adjustment"
L3809,Whfo w/o joints pre ots,"Wrist hand finger orthosis, without joint(s), prefabricated, off-the-shelf, any type"
L3891,Torsion mechanism wrist/elbo,"Addition to upper extremity joint, wrist or elbow, concentric adjustable torsion style mechanism for custom fabricated orthotics only, each"
L3900,Hinge extension/flex wrist/f,"Wrist hand finger orthosis, dynamic flexor hinge, reciprocal wrist extension/ flexion, finger flexion/extension, wrist or finger driven, custom fabricated"
L3901,Hinge ext/flex wrist finger,"Wrist hand finger orthosis, dynamic flexor hinge, reciprocal wrist extension/ flexion, finger flexion/extension, cable driven, custom fabricated"
L3904,Whfo electric custom fitted,"Wrist hand finger orthosis, external powered, electric, custom fabricated"
L3905,Who w/nontorsion jnt(s) cf,"Wrist hand orthosis, includes one or more nontorsion joints, elastic bands, turnbuckles, may include soft interface, straps, custom fabricated, includes fitting and adjustment"
L3906,Who w/o joints cf,"Wrist hand orthosis, without joints, may include soft interface, straps, custom fabricated, includes fitting and adjustment"
L3908,Who cock-up nonmolde pre ots,"Wrist hand orthosis, wrist extension control cock-up, non molded, prefabricated, off-the-shelf"
L3912,Hfo flexion glove pre ots,"Hand finger orthosis (hfo), flexion glove with elastic finger control, prefabricated, off-the-shelf"
L3913,Hfo w/o joints cf,"Hand finger orthosis, without joints, may include soft interface, straps, custom fabricated, includes fitting and adjustment"
L3915,Who nontorsion jnts pre cst,"Wrist hand orthosis, includes one or more nontorsion joint(s), elastic bands, turnbuckles, may include soft interface, straps, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an indiv"
L3916,Who nontorsion jnts pre ots,"Wrist hand orthosis, includes one or more nontorsion joint(s), elastic bands, turnbuckles, may include soft interface, straps, prefabricated, off-the-shelf"
L3917,Metacarp fx orthosis pre cst,"Hand orthosis, metacarpal fracture orthosis, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise"
L3918,Metacarp fx orthosis pre ots,"Hand orthosis, metacarpal fracture orthosis, prefabricated, off-the-shelf"
L3919,Ho w/o joints cf,"Hand orthosis, without joints, may include soft interface, straps, custom fabricated, includes fitting and adjustment"
L3921,Hfo w/joint(s) cf,"Hand finger orthosis, includes one or more nontorsion joints, elastic bands, turnbuckles, may include soft interface, straps, custom fabricated, includes fitting and adjustment"
L3923,Hfo without joints pre cst,"Hand finger orthosis, without joints, may include soft interface, straps, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise"
L3924,Hfo without joints pre ots,"Hand finger orthosis, without joints, may include soft interface, straps, prefabricated, off-the-shelf"
L3925,Fo pip dip jnt/sprng pre ots,"Finger orthosis, proximal interphalangeal (pip)/distal interphalangeal (dip), non torsion joint/spring, extension/flexion, may include soft interface material, prefabricated, off-the-shelf"
L3927,Fo pip dip no jt spr pre ots,"Finger orthosis, proximal interphalangeal (pip)/distal interphalangeal (dip), without joint/spring, extension/flexion (e.g., static or ring type), may include soft interface material, prefabricated, off-the-shelf"
L3929,Hfo nontorsion jnts pre cst,"Hand finger orthosis, includes one or more nontorsion joint(s), turnbuckles, elastic bands/springs, may include soft interface material, straps, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific p"
L3930,Hfo nontorsion jnts pre ots,"Hand finger orthosis, includes one or more nontorsion joint(s), turnbuckles, elastic bands/springs, may include soft interface material, straps, prefabricated, off-the-shelf"
